waktu;aktual
Jan-14;1172.71
Feb-14;1066.78
Mar-14;1162.53
Apr-14;1276.31
May-14;1176.18
Jun-14;1228.98
Jul-14;1257.54
Aug-14;1241.54
Sep-14;1053
Oct-14;1352.29
Nov-14;1880.29
Dec-14;1380.29
Jan-15;2671.71
Feb-15;3617.8
Mar-15;3930.48
Apr-15;4770.81
May-15;4650.8
Jun-15;3950.03
Jul-15;3385.36
Aug-15;3658.04
Sep-15;3930.48
Oct-15;3722.36
Nov-15;2722.3
Dec-15;1722.6
Jan-16;2677.67
Feb-16;3680.42
Mar-16;4030.92
Apr-16;5060.46
May-16;5070.88
Jun-16;6400.37
Jul-16;6108.28
Aug-16;8570.3
Sep-16;9190.23
Oct-16;8739.07
Nov-16;7367.62
Dec-16;7867.62
Jan-17;5909.9
Feb-17;5359.2
Mar-17;3976.7
Apr-17;3413.1
May-17;2205.65
Jun-17;1823
Jul-17;2449
Aug-17;1284
Sep-17;1269.5
Oct-17;2030.8
Nov-17;3901
Dec-17;5370.5
Jan-18;6682.5
Feb-18;6816.2
Mar-18;7896.6
Apr-18;6779.8
May-18;5649.1
Jun-18;4856.6
Jul-18;3555
Aug-18;3475
Sep-18;3200
Oct-18;2610
Nov-18;2960
Dec-18;2530
